# day,sunrise,sunset,month
30,07:11,17:32,5
31,07:11,17:31,5
1,07:12,17:31,6
2,07:12,17:31,6
3,07:13,17:31,6
4,07:13,17:31,6
5,07:14,17:31,6
6,07:14,17:30,6
7,07:15,17:30,6
8,07:15,17:30,6
9,07:15,17:30,6
10,07:16,17:30,6
11,07:16,17:30,6
12,07:17,17:30,6
13,07:17,17:30,6
14,07:17,17:30,6
15,07:18,17:31,6
16,07:18,17:31,6
17,07:18,17:31,6
18,07:19,17:31,6
19,07:19,17:31,6
20,07:19,17:31,6
21,07:19,17:32,6
22,07:19,17:32,6
23,07:20,17:32,6
24,07:20,17:32,6
25,07:20,17:33,6
26,07:20,17:33,6
27,07:20,17:33,6
28,07:20,17:34,6
29,07:20,17:34,6
30,07:20,17:34,6
1,07:20,17:35,7
2,07:20,17:35,7
3,07:20,17:36,7
4,07:20,17:36,7
5,07:20,17:36,7
6,07:20,17:37,7
7,07:20,17:37,7
8,07:20,17:38,7
9,07:20,17:38,7
10,07:19,17:39,7
11,07:19,17:39,7
12,07:19,17:40,7
13,07:19,17:40,7
14,07:18,17:41,7
15,07:18,17:41,7
16,07:18,17:42,7
17,07:17,17:42,7
18,07:17,17:43,7
19,07:16,17:44,7
20,07:16,17:44,7
21,07:16,17:45,7
22,07:15,17:45,7
23,07:15,17:46,7
24,07:14,17:46,7
25,07:13,17:47,7
26,07:13,17:48,7
27,07:12,17:48,7
28,07:12,17:49,7
29,07:11,17:49,7
30,07:10,17:50,7
31,07:10,17:50,7
1,07:09,17:51,8
2,07:08,17:52,8
3,07:08,17:52,8
4,07:07,17:53,8
5,07:06,17:53,8
6,07:05,17:54,8
7,07:04,17:55,8
8,07:04,17:55,8
9,07:03,17:56,8
10,07:02,17:56,8
11,07:01,17:57,8
12,07:00,17:58,8
13,06:59,17:58,8
14,06:58,17:59,8
15,06:57,17:59,8
16,06:56,18:00,8
17,06:55,18:00,8
18,06:54,18:01,8
19,06:53,18:02,8
20,06:52,18:02,8
21,06:51,18:03,8
22,06:50,18:03,8
23,06:49,18:04,8
24,06:48,18:04,8
25,06:47,18:05,8
26,06:46,18:05,8
27,06:44,18:06,8
28,06:43,18:06,8
29,06:42,18:07,8
30,06:41,18:08,8
31,06:40,18:08,8
1,06:39,18:09,9
2,06:38,18:09,9
3,06:36,18:10,9
4,06:35,18:10,9
5,06:34,18:11,9
6,06:33,18:11,9
7,06:32,18:12,9