#day,high,avg,low,sum,events,month
30,22,17,12,0,,5
31,21,16,10,0,,5
1,24,20,16,16,"Rain , Thunderstorm",6
2,22,19,16,0,Rain,6
3,21,18,15,0,,6
4,22,18,13,0,,6
5,24,18,12,0,,6
6,26,21,16,0,,6
7,21,18,15,0,,6
8,23,19,15,0,,6
9,23,19,14,0,,6
10,23,20,16,0,,6
11,23,18,13,0,,6
12,22,20,17,0,Rain,6
13,21,19,17,0,Fog,6
14,21,18,16,0,,6
15,18,17,16,0.51,Rain,6
16,20,18,15,1.02,Rain,6
17,22,19,17,0,Rain,6
18,22,19,16,1.02,,6
19,21,19,18,0,Rain,6
20,17,16,15,7.11,Rain,6
21,20,18,15,5.08,Rain,6
22,22,17,12,0,,6
23,19,14,10,0,,6
24,18,16,14,6.1,Rain,6
25,21,19,17,0,Rain,6
26,19,17,15,3.05,Rain,6
27,16,16,14,0,Rain,6
28,22,18,14,0,,6
29,23,19,16,0.25,Rain,6
30,17,16,14,1.02,Rain,6
1,17,16,14,0,,7
2,18,14,11,0,,7
3,20,16,12,0.25,Rain,7
4,22,20,18,0,,7
5,24,20,17,0,Fog,7
6,28,22,17,0,Fog,7
7,23,19,15,0.25,,7
8,18,16,13,0,Rain,7
9,17,16,14,0.51,Rain,7
10,22,19,16,0,,7
11,22,19,17,0,,7
12,24,21,16,0,,7
13,25,19,13,0,,7
14,25,21,16,0.76,,7
15,17,15,13,0,Rain,7
16,18,14,9,0,,7
17,24,17,9,0,,7
18,28,22,15,0,Thunderstorm,7
19,13,12,11,3.05,"Rain , Thunderstorm",7
20,17,14,11,3.05,Rain,7
21,15,13,12,1.02,Rain,7
22,11,9,7,22.1,Rain,7
23,13,9,5,0,Rain,7
24,13,8,3,1.02,Rain,7
25,16,12,9,0,,7
26,20,16,11,0,,7
27,19,13,7,0,,7
28,21,13,7,0,,7
29,21,14,8,0,,7
30,21,14,8,0,,7
31,20,17,13,0,,7
1,29,21,14,0,Fog,8
2,29,22,14,0,,8
3,21,18,14,0.76,Rain,8
4,22,18,14,0,"Rain , Thunderstorm",8
5,18,13,9,0,,8
6,21,18,15,0,Rain,8
7,23,17,10,0,,8
8,21,19,17,0,,8
9,21,18,15,0.51,Rain,8
10,16,15,14,3.05,Rain,8
11,18,14,11,0,Rain,8
12,21,14,9,0,,8
13,19,16,12,4.06,Rain,8
14,16,13,11,0,Rain,8
15,18,14,11,0,,8
16,21,14,8,0,,8
17,19,16,13,0,,8
18,19,16,13,5.08,Rain,8
19,21,18,15,1.02,Rain,8
20,21,18,16,0,Rain,8
21,22,19,16,0,,8
22,28,22,16,0,,8
23,16,13,11,1.02,Rain,8
24,14,12,11,0.76,Rain,8
25,17,15,13,10.92,Rain,8
26,14,13,12,5.08,Rain,8
27,15,12,9,0.51,Rain,8
28,17,13,8,0,,8
29,21,15,9,0,,8
30,22,18,13,0,,8
31,21,18,15,0,,8
1,22,18,15,0,Rain,9
2,25,19,13,1.02,"Rain , Thunderstorm",9
3,22,17,13,0.76,"Rain , Thunderstorm",9
4,16,14,12,0,,9
5,21,17,12,0,,9
6,22,18,15,0,,9
7,22,19,17,0,,9
8,25,21,17,0.00,,9
9,24,19,14,0.00,Fog,9