20,06:17,20:02,11
21,06:17,20:03,11
22,06:16,20:04,11
23,06:16,20:05,11
24,06:16,20:06,11
25,06:15,20:06,11
26,06:15,20:07,11
27,06:15,20:08,11
28,06:15,20:09,11
29,06:15,20:10,11
30,06:15,20:10,11
1,06:15,20:11,12
2,06:15,20:12,12
3,06:15,20:13,12
4,06:15,20:14,12
5,06:15,20:14,12
6,06:15,20:15,12
7,06:15,20:16,12
8,06:15,20:17,12
9,06:15,20:17,12
10,06:15,20:18,12
11,06:16,20:19,12
12,06:16,20:19,12
13,06:16,20:20,12
14,06:16,20:21,12
15,06:17,20:21,12
16,06:17,20:22,12
17,06:18,20:23,12
18,06:18,20:23,12
19,06:18,20:24,12
20,06:19,20:24,12
21,06:19,20:25,12
22,06:20,20:25,12
23,06:20,20:26,12
24,06:21,20:26,12
25,06:21,20:26,12
26,06:22,20:27,12
27,06:23,20:27,12
28,06:23,20:27,12
29,06:24,20:28,12
30,06:25,20:28,12
31,06:25,20:28,12
1,06:26,20:29,1
2,06:27,20:29,1
3,06:27,20:29,1
4,06:28,20:29,1
5,06:29,20:29,1
6,06:30,20:29,1
7,06:31,20:29,1
8,06:31,20:29,1
9,06:32,20:29,1
10,06:33,20:29,1
11,06:34,20:29,1
12,06:35,20:29,1
13,06:36,20:29,1
14,06:36,20:29,1
15,06:37,20:29,1
16,06:38,20:29,1
17,06:39,20:28,1
18,06:40,20:28,1
19,06:41,20:28,1
20,06:42,20:27,1
21,06:43,20:27,1
22,06:43,20:27,1
23,06:44,20:26,1
24,06:45,20:26,1
25,06:46,20:26,1
26,06:47,20:25,1
27,06:48,20:25,1
28,06:49,20:24,1
29,06:50,20:24,1
30,06:50,20:23,1
31,06:51,20:22,1
1,06:52,20:22,2
2,06:53,20:21,2
3,06:54,20:20,2
4,06:55,20:20,2
5,06:56,20:19,2
6,06:57,20:18,2
7,06:57,20:18,2
8,06:58,20:17,2
9,06:59,20:16,2
10,07:00,20:15,2
11,07:01,20:14,2
12,07:02,20:14,2
13,07:02,20:13,2
14,07:03,20:12,2
15,07:04,20:11,2
16,07:05,20:10,2
17,06:06,19:09,2
18,06:06,19:08,2
19,06:07,19:07,2
20,06:08,19:06,2
21,06:09,19:05,2
22,06:09,19:04,2
23,06:10,19:03,2
24,06:11,19:02,2
25,06:12,19:01,2
26,06:12,19:00,2
27,06:13,18:59,2
28,06:14,18:58,2
1,06:15,18:57,3
2,06:15,18:55,3
3,06:16,18:54,3
4,06:17,18:53,3
5,06:17,18:52,3
6,06:18,18:51,3
7,06:19,18:50,3
8,06:19,18:49,3
9,06:20,18:47,3
10,06:21,18:46,3
11,06:21,18:45,3
12,06:22,18:44,3
13,06:23,18:43,3
14,06:23,18:42,3
15,06:24,18:40,3
16,06:25,18:39,3
17,06:25,18:38,3
18,06:26,18:37,3
19,06:27,18:36,3
20,06:27,18:34,3
21,06:28,18:33,3
22,06:28,18:32,3
23,06:29,18:31,3
24,06:30,18:29,3
25,06:30,18:28,3
26,06:31,18:27,3